taxon_name	CON_18018_4	CON_19044_1	CON_19044_2	CON_19045_1	CON_19048_1	CON_19049_1	CON_19050_1	CON_19051_1	CON_H20_1	CON_H20_2	CON_H20_3	CON_H30_1	CON_H30_2	CON_H30_3	CON_H60_1	DCA_19014_5	DCA_19023_5	DCA_19026_5	DCA_19060_1	DCA_19060_3	DCA_19060_4	DCA_19060_5	DCA_19065_1	DCA_19065_3	DCA_19065_4	DCA_19065_5	DC_19043_1	DC_19043_3	DC_19043_4	DC_19043_5	DC_19046_1	DC_19046_3	DC_19046_4	DC_19046_5	DC_19052_1	DC_19052_4	DC_19052_5	DC_19052_6	DC_19061_1	DC_19061_3	DC_19061_4	DC_19061_5	DC_19063_1	DC_19063_3	DC_19063_4	DC_19063_5	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Beutenbergiaceae; g__unclassified_f__Beutenbergiaceae	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	6	0	5	0	6	0	13	13	0	2	0	0	0	56	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Luteibacter	7	0	0	0	0	0	31	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	3	0	0	0	0	0	56	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	3	0	5	0	1	0	2	0	0	0	0	3	0	0	5	0	0	0	0	9	2	0	10	0	0	1	0	4	4	56	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__unclassified_c__Bacilli; f__unclassified_c__Bacilli; g__unclassified_c__Bacilli	0	0	0	3	0	5	8	0	0	0	0	0	0	0	0	2	3	0	14	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	56	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacter	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	1	0	0	4	0	0	0	5	12	7	4	0	0	0	55	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae; g__Niveispirillum	0	4	0	0	0	0	8	6	0	5	0	7	2	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	3	0	2	0	0	3	0	0	0	2	1	55	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Brevibacillales; f__Brevibacillaceae; g__Brevibacillus	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	11	0	11	0	0	0	0	0	3	0	9	0	3	0	0	0	4	0	1	0	0	55	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__unclassified_f__Rhodanobacteraceae	0	0	0	0	6	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	1	5	0	0	0	0	55	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	19	0	0	0	0	0	0	0	1	0	0	7	3	1	5	3	0	0	5	2	0	0	0	54	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SJA-15; f__norank_o__SJA-15; g__norank_f__norank_o__SJA-15	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	34	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	54	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Azoarcus	0	0	0	0	0	0	13	3	8	0	0	0	0	0	0	4	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	2	2	0	0	0	54	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Limnochordia; o__Limnochordales; f__Limnochordaceae; g__norank_f__Limnochordaceae	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	54	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Phreatobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	5	1	0	1	0	7	10	15	4	0	0	0	54	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__norank_f__Micropepsaceae	22	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	0	3	0	1	0	53	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__norank_c__JG30-KF-CM66; f__norank_o__norank_c__JG30-KF-CM66; g__norank_f__norank_o__norank_c__JG30-KF-CM66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	11	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	4	5	6	3	4	0	0	53	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__P3OB-42	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	7	3	3	4	0	4	0	53	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Clostridioides	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	14	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Iamiaceae; g__Iamia	0	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	6	52	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__norank_o__Micavibrionales; g__norank_f__norank_o__Micavibrionales	0	2	1	4	0	0	0	0	8	0	0	0	0	0	0	4	10	3	0	0	0	0	0	12	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	51	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__norank_f__Blastocatellaceae	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	3	1	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	5	0	0	4	0	3	0	7	0	1	0	4	3	0	51	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Chloroflexi; c__unclassified_p__Chloroflexi; o__unclassified_p__Chloroflexi; f__unclassified_p__Chloroflexi; g__unclassified_p__Chloroflexi	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	10	0	10	0	0	0	0	5	7	0	0	6	0	0	51	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Alicyclobacillus	32	0	2	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	51	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium	0	0	0	0	0	0	0	0	2	9	5	0	11	5	0	6	1	0	2	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	51	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7a	0	2	0	0	5	0	0	0	0	7	1	0	4	0	0	1	0	2	3	4	0	2	0	0	0	0	0	0	0	2	0	0	2	0	1	1	1	0	11	0	0	2	0	0	0	0	51	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Cohnella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	24	2	4	0	0	0	51	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__unclassified_c__Acidimicrobiia; f__unclassified_c__Acidimicrobiia; g__unclassified_c__Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	15	0	5	1	0	0	0	50	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Thiobacillus	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	50	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Atopostipes	0	0	0	4	1	0	0	2	0	0	0	6	0	0	0	0	0	2	0	2	0	0	1	2	7	1	0	0	3	0	0	4	0	0	1	0	4	4	0	1	2	2	1	0	0	0	50	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Gemmatimonadota; c__S0134_terrestrial_group; o__norank_c__S0134_terrestrial_group; f__norank_o__norank_c__S0134_terrestrial_group; g__norank_f__norank_o__norank_c__S0134_terrestrial_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	11	2	6	4	1	6	0	50	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Cyanobacteria; c__Sericytochromatia; o__norank_c__Sericytochromatia; f__norank_o__norank_c__Sericytochromatia; g__norank_f__norank_o__norank_c__Sericytochromatia	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	1	3	0	0	4	1	2	0	0	0	0	2	0	0	2	7	2	0	0	0	0	5	4	0	0	0	2	4	0	49	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Vagococcaceae; g__Vagococcus	0	0	0	0	0	0	22	0	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	7	49	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ochrobactrum	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	13	2	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	5	1	0	5	12	1	0	0	0	0	0	0	49	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Candidatus_Saccharimonas	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	1	0	48	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	4	0	0	0	0	0	0	7	9	0	0	0	8	0	2	2	0	0	0	0	0	48	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Butyricicoccus	0	4	0	0	0	0	0	0	2	0	0	0	0	0	24	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	4	0	0	2	0	0	0	0	3	48	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__norank_f__Ilumatobacteraceae	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	1	2	0	0	0	1	6	8	1	0	0	1	47	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Rhodoplanes	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	2	0	0	47	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	4	0	0	5	13	0	6	0	0	0	46	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__norank_f__Microscillaceae	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	7	4	11	0	0	0	0	46	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Chloroflexi; c__OLB14; o__norank_c__OLB14; f__norank_o__norank_c__OLB14; g__norank_f__norank_o__norank_c__OLB14	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	10	0	0	0	46	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__unclassified_f__Acetobacteraceae	0	0	0	0	0	4	0	16	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	5	3	0	0	0	0	0	46	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__norank_f__Caldilineaceae	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	14	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	1	0	0	0	0	0	46	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium	0	0	0	3	4	0	0	3	0	0	13	0	0	0	0	0	0	1	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Stappiaceae; g__unclassified_f__Stappiaceae	0	6	7	6	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	6	0	0	0	1	0	0	3	0	0	0	2	7	0	0	0	0	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__SM2D12; g__norank_f__SM2D12	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	2	0	0	4	5	0	2	1	0	1	7	0	0	1	3	0	2	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia	0	1	0	1	0	0	1	0	0	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Paraclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella	0	0	2	0	0	0	0	0	0	5	0	0	0	7	26	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium	0	2	0	0	9	0	0	0	0	0	0	0	8	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	6	0	3	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhizobacter	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	4	1	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	4	0	5	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	45	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dubosiella	0	1	0	0	2	0	0	0	8	0	0	0	0	0	0	0	2	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	1	17	1	0	2	0	0	44	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Chujaibacter	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	5	11	0	8	0	0	0	44	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__unclassified_f__Nocardioidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	16	0	0	1	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	4	0	0	0	0	0	44	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	5	8	0	0	9	0	6	44	0.02%
d__Bacteria; k__norank_d__Bacteria; p__MBNT15; c__norank_p__MBNT15; o__norank_c__norank_p__MBNT15; f__norank_o__norank_c__norank_p__MBNT15; g__norank_f__norank_o__norank_c__norank_p__MBNT15	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	3	2	0	0	3	10	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	7	5	4	0	44	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__11-24; f__norank_o__11-24; g__norank_f__norank_o__11-24	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	10	14	0	0	0	43	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__WX65; g__norank_f__WX65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	5	0	0	0	0	7	11	1	8	0	1	0	43	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Morganellaceae; g__Proteus	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	25	0	0	0	0	0	0	0	0	0	43	0.02%
d__Bacteria; k__norank_d__Bacteria; p__Desulfobacterota; c__norank_p__Desulfobacterota; o__norank_c__norank_p__Desulfobacterota; f__norank_o__norank_c__norank_p__Desulfobacterota; g__norank_f__norank_o__norank_c__norank_p__Desulfobacterota	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	2	4	8	0	0	0	42	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Micrococcus	0	0	0	6	0	0	0	0	0	0	0	0	5	0	8	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	42	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	0	0	0	0	3	0	0	0	0	4	0	4	14	0	2	0	0	1	42	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__unclassified_o__Rhizobiales; g__unclassified_o__Rhizobiales	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	1	0	9	5	4	5	0	0	0	42	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__norank_f__Sutterellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	2	8	0	0	42	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	1	2	0	0	1	0	1	3	0	0	1	1	0	42	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Nocardiopsaceae; g__Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	3	3	0	0	0	0	42	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Microvirga	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	3	8	6	0	0	0	41	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Magnetospirillaceae; g__Magnetospirillum	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	4	0	0	0	41	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	3	0	0	0	0	0	0	41	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Empedobacter	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4	2	0	3	0	1	2	0	0	4	0	4	41	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__norank_o__Kapabacteriales; g__norank_f__norank_o__Kapabacteriales	0	0	0	0	14	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	5	0	0	0	41	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Inhella	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	10	0	4	0	0	5	0	0	1	0	0	0	8	0	41	0.01%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	3	12	0	0	5	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	5	0	0	4	3	0	41	0.01%
d__Bacteria; k__norank_d__Bacteria; p__GAL15; c__norank_p__GAL15; o__norank_c__norank_p__GAL15; f__norank_o__norank_c__norank_p__GAL15; g__norank_f__norank_o__norank_c__norank_p__GAL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	11	0	0	5	0	40	0.01%
